Start with:,End with:,Fee:,Unit
สถานีท่าพระ,สถานีจรัญฯ 13,17,Baht
สถานีท่าพระ,สถานีไฟฉาย,19,Baht
สถานีท่าพระ,สถานีบางขุนนนท์,21,Baht
สถานีท่าพระ,สถานีบางยี่ขัน,24,Baht
สถานีท่าพระ,สถานีสิรินธร,26,Baht
สถานีท่าพระ,สถานีบางพลัด,29,Baht
สถานีท่าพระ,สถานีบางอ้อ,31,Baht
สถานีท่าพระ,สถานีบางโพ,33,Baht
สถานีท่าพระ,สถานีบางซื่อ,38,Baht
สถานีท่าพระ,สถานีกำแพงเพชร,43,Baht
สถานีท่าพระ,สถานีสวนจตุจักร,43,Baht
สถานีท่าพระ,สถานีพหลโยธิน,43,Baht
สถานีท่าพระ,สถานีลาดพร้าว,43,Baht
สถานีท่าพระ,สถานีรัชดาภิเษก,43,Baht
สถานีท่าพระ,สถานีสุทธิสาร,43,Baht
สถานีท่าพระ,สถานีห้วยขวาง,43,Baht
สถานีท่าพระ,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย,43,Baht
สถานีท่าพระ,สถานีพระราม 9,43,Baht
สถานีท่าพระ,สถานีเพชรบุรี,43,Baht
สถานีท่าพระ,สถานีสุขุมวิท,41,Baht
สถานีท่าพระ,สถานีศูนย์การประชุมแห่งชาติสิริกิติ์,38,Baht
สถานีท่าพระ,สถานีคลองเตย,36,Baht
สถานีท่าพระ,สถานีลุมพินี,33,Baht
สถานีท่าพระ,สถานีสีลม,31,Baht
สถานีท่าพระ,สถานีสามย่าน,39,Baht
สถานีท่าพระ,สถานีหัวลำโพง,26,Baht
สถานีท่าพระ,สถานีวัดมังกร,24,Baht
สถานีท่าพระ,สถานีสามยอด,21,Baht
สถานีท่าพระ,สถานีสนามไชย,19,Baht
สถานีท่าพระ,สถานีอิสรภาพ,17,Baht
สถานีท่าพระ,สถานีบางไผ่,17,Baht
สถานีท่าพระ,สถานีบางหว้า,19,Baht
สถานีท่าพระ,สถานีเพชรเกษม48,21,Baht
สถานีท่าพระ,สถานีภาษีเจริญ,24,Baht
สถานีท่าพระ,สถานีบางแค,26,Baht
สถานีท่าพระ,สถานีหลักสอง,29,Baht
สถานีท่าพระ,สถานีคลองบางไผ่,42,Baht
สถานีท่าพระ,สถานีตลาดบางใหญ่,42,Baht
สถานีท่าพระ,สถานีสามแยกบางใหญ่,42,Baht
สถานีท่าพระ,สถานีบางพลู,42,Baht
สถานีท่าพระ,สถานีบางรักใหญ่,42,Baht
สถานีท่าพระ,สถานีบางรักน้อยท่าอิฐ,42,Baht
สถานีท่าพระ,สถานีไทรม้า,42,Baht
สถานีท่าพระ,สถานีสะพานพระนั่งเกล้า,42,Baht
สถานีท่าพระ,สถานีแยกนนทบุรี 1,42,Baht
สถานีท่าพระ,สถานีบางกระสอ,42,Baht
สถานีท่าพระ,สถานีศูนย์ราชการนนทบุรี,42,Baht
สถานีท่าพระ,สถานีกระทรวงสาธารณสุข,42,Baht
สถานีท่าพระ,สถานีแยกติวานนท์,42,Baht
สถานีท่าพระ,สถานีวงศ์สว่าง,42,Baht
สถานีท่าพระ,สถานีบางซ่อน,39,Baht
สถานีท่าพระ,สถานีเตาปูน,36,Baht
,,,
สถานีจรัญฯ 13,สถานีท่าพระ,17,Baht
สถานีจรัญฯ 13,สถานีไฟฉาย,17,Baht
สถานีจรัญฯ 13,สถานีบางขุนนนท์,19,Baht
สถานีจรัญฯ 13,สถานีบางยี่ขัน,21,Baht
สถานีจรัญฯ 13,สถานีสิรินธร,24,Baht
สถานีจรัญฯ 13,สถานีบางพลัด,26,Baht
สถานีจรัญฯ 13,สถานีบางอ้อ,29,Baht
สถานีจรัญฯ 13,สถานีบางโพ,31,Baht
สถานีจรัญฯ 13,สถานีบางซื่อ,36,Baht
สถานีจรัญฯ 13,สถานีกำแพงเพชร,38,Baht
สถานีจรัญฯ 13,สถานีสวนจตุจักร,41,Baht
สถานีจรัญฯ 13,สถานีพหลโยธิน,43,Baht
สถานีจรัญฯ 13,สถานีลาดพร้าว,43,Baht
สถานีจรัญฯ 13,สถานีรัชดาภิเษก,43,Baht
สถานีจรัญฯ 13,สถานีสุทธิสาร,43,Baht
สถานีจรัญฯ 13,สถานีห้วยขวาง,43,Baht
สถานีจรัญฯ 13,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย,43,Baht
สถานีจรัญฯ 13,สถานีพระราม 9,43,Baht
สถานีจรัญฯ 13,สถานีเพชรบุรี,43,Baht
สถานีจรัญฯ 13,สถานีสุขุมวิท,43,Baht
สถานีจรัญฯ 13,สถานีศูนย์การประชุมแห่งชาติสิริกิติ์,41,Baht
สถานีจรัญฯ 13,สถานีคลองเตย,38,Baht
สถานีจรัญฯ 13,สถานีลุมพินี,36,Baht
สถานีจรัญฯ 13,สถานีสีลม,33,Baht
สถานีจรัญฯ 13,สถานีสามย่าน,31,Baht
สถานีจรัญฯ 13,สถานีหัวลำโพง,29,Baht
สถานีจรัญฯ 13,สถานีวัดมังกร,26,Baht
สถานีจรัญฯ 13,สถานีสามยอด,24,Baht
สถานีจรัญฯ 13,สถานีสนามไชย,21,Baht
สถานีจรัญฯ 13,สถานีอิสรภาพ,19,Baht
สถานีจรัญฯ 13,สถานีบางไผ่,19,Baht
สถานีจรัญฯ 13,สถานีบางหว้า,21,Baht
สถานีจรัญฯ 13,สถานีเพชรเกษม48,24,Baht
สถานีจรัญฯ 13,สถานีภาษีเจริญ,26,Baht
สถานีจรัญฯ 13,สถานีบางแค,29,Baht
สถานีจรัญฯ 13,สถานีหลักสอง,31,Baht
สถานีจรัญฯ 13,สถานีคลองบางไผ่,39,Baht
สถานีจรัญฯ 13,สถานีตลาดบางใหญ่,39,Baht
สถานีจรัญฯ 13,สถานีสามแยกบางใหญ่,39,Baht
สถานีจรัญฯ 13,สถานีบางพลู,39,Baht
สถานีจรัญฯ 13,สถานีบางรักใหญ่,39,Baht
สถานีจรัญฯ 13,สถานีบางรักน้อยท่าอิฐ,39,Baht
สถานีจรัญฯ 13,สถานีไทรม้า,39,Baht
สถานีจรัญฯ 13,สถานีสะพานพระนั่งเกล้า,39,Baht
สถานีจรัญฯ 13,สถานีแยกนนทบุรี 1,39,Baht
สถานีจรัญฯ 13,สถานีบางกระสอ,39,Baht
สถานีจรัญฯ 13,สถานีศูนย์ราชการนนทบุรี,39,Baht
สถานีจรัญฯ 13,สถานีกระทรวงสาธารณสุข,39,Baht
สถานีจรัญฯ 13,สถานีแยกติวานนท์,39,Baht
สถานีจรัญฯ 13,สถานีวงศ์สว่าง,39,Baht
สถานีจรัญฯ 13,สถานีบางซ่อน,36,Baht
สถานีจรัญฯ 13,สถานีเตาปูน,33,Baht
,,,
สถานีไฟฉาย,สถานีท่าพระ,19,Baht
สถานีไฟฉาย,สถานีจรัญฯ 13,17,Baht
สถานีไฟฉาย,สถานีบางขุนนนท์,17,Baht
สถานีไฟฉาย,สถานีบางยี่ขัน,19,Baht
สถานีไฟฉาย,สถานีสิรินธร,21,Baht
สถานีไฟฉาย,สถานีบางพลัด,24,Baht
สถานีไฟฉาย,สถานีบางอ้อ,26,Baht
สถานีไฟฉาย,สถานีบางโพ,29,Baht
สถานีไฟฉาย,สถานีบางซื่อ,33,Baht
สถานีไฟฉาย,สถานีกำแพงเพชร,36,Baht
สถานีไฟฉาย,สถานีสวนจตุจักร,38,Baht
สถานีไฟฉาย,สถานีพหลโยธิน,41,Baht
สถานีไฟฉาย,สถานีลาดพร้าว,43,Baht
สถานีไฟฉาย,สถานีรัชดาภิเษก,43,Baht
สถานีไฟฉาย,สถานีสุทธิสาร,43,Baht
สถานีไฟฉาย,สถานีห้วยขวาง,43,Baht
สถานีไฟฉาย,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย,43,Baht
สถานีไฟฉาย,สถานีพระราม 9,43,Baht
สถานีไฟฉาย,สถานีเพชรบุรี,43,Baht
สถานีไฟฉาย,สถานีสุขุมวิท,43,Baht
สถานีไฟฉาย,สถานีศูนย์การประชุมแห่งชาติสิริกิติ์,43,Baht
สถานีไฟฉาย,สถานีคลองเตย,41,Baht
สถานีไฟฉาย,สถานีลุมพินี,38,Baht
สถานีไฟฉาย,สถานีสีลม,36,Baht
สถานีไฟฉาย,สถานีสามย่าน,33,Baht
