id_station,Station
BL01,สถานีท่าพระ
BL02,สถานีจรัญฯ 13
BL03,สถานีไฟฉาย
BL04,สถานีบางขุนนนท์
BL05,สถานีบางยี่ขัน
BL06,สถานีสิรินธร
BL07,สถานีบางพลัด
BL08,สถานีบางอ้อ
BL09,สถานีบางโพ
BL11,สถานีบางซื่อ
BL12,สถานีกำแพงเพชร
BL13,สถานีสวนจตุจักร
BL14,สถานีพหลโยธิน
BL15,สถานีลาดพร้าว
BL16,สถานีรัชดาภิเษก
BL17,สถานีสุทธิสาร
BL18,สถานีห้วยขวาง
BL19,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย
BL20,สถานีพระราม 9
BL21,สถานีเพชรบุรี
BL22,สถานีสุขุมวิท
BL23,สถานีศูนย์การประชุมแห่งชาติสิริกิติ์
BL24,สถานีคลองเตย
BL25,สถานีลุมพินี
BL26,สถานีสีลม
BL27,สถานีสามย่าน
BL28,สถานีหัวลำโพง
BL29,สถานีวัดมังกร
BL30,สถานีสามยอด
BL31,สถานีสนามไชย
BL32,สถานีอิสรภาพ
BL33,สถานีบางไผ่
BL34,สถานีบางหว้า
BL35,สถานีเพชรเกษม48
BL36,สถานีภาษีเจริญ
BL37,สถานีบางแค
BL38,สถานีหลักสอง
PP01,สถานีคลองบางไผ่
PP02,สถานีตลาดบางใหญ่
PP03,สถานีสามแยกบางใหญ่
PP04,สถานีบางพลู
PP05,สถานีบางรักใหญ่
PP06,สถานีบางรักน้อยท่าอิฐ
PP07,สถานีไทรม้า
PP08,สถานีสะพานพระนั่งเกล้า
PP09,สถานีแยกนนทบุรี 1
PP10,สถานีบางกระสอ
PP11,สถานีศูนย์ราชการนนทบุรี
PP12,สถานีกระทรวงสาธารณสุข
PP13,สถานีแยกติวานนท์
PP14,สถานีวงศ์สว่าง
PP15,สถานีบางซ่อน
PP16,สถานีเตาปูน
